Stock Summary as on 31/08/2026,,,,,
Warehouse Location: Pune,,,,,
,,,,,
Item Name,Opening Stock,Quantity In,Quantity Out,Closing Stock,Purchase Account Name
304 CABLE TRAY 100X50X4X2.5 MTR, 	-   , 	-   , 	450.00 , 	-450.00 ,Cost of Goods Sold
304 CABLE TRAY 50X50X4X2.5 MTR, 	-   , 	-   , 	800.00 , 	-800.00 ,Cost of Goods Sold
AB-2085IF8, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
"ABP-MS PRESSURE GAUGE (0-7)KG/4"" X 1/2""", 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
"ABP-MS PRESSURE GAUGE 1/4"" / (0-10) KG", 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
ADV-IPC-610MB-00HD, 	-   , 	-   , 	1.00 , 	-1.00 ,Cost of Goods Sold
ALF-3131703753, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
ALF-3131703772, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
ALF-3131703785, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
ALF-9612636503, 	-   , 	-   , 	12.00 , 	-12.00 ,Cost of Goods Sold
ALF-9612636507, 	-   , 	12.00 , 	-   , 	12.00 ,Cost of Goods Sold
ANC-SS304 FASTNER M12X100MM, 	-   , 	76.00 , 	-   , 	76.00 ,Cost of Goods Sold
BAU-CTX323B220, 	-   , 	-   , 	1.00 , 	-1.00 ,Cost of Goods Sold
BAU-ESG 34AH0200-PL, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
BAU-LBFH.21.010.A03020.1.0003.0, 	-   , 	-   , 	4.00 , 	-4.00 ,Cost of Goods Sold
BAU-ZPH15213, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
BAU-ZPH1-5236, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
BLU-BB-12PFL-LIU-SM-LC-DIN, 	-   , 	6.00 , 	-   , 	6.00 ,Cost of Goods Sold
BLU-BB6PFL-LIU-SM-LC-DIN, 	-   , 	-   , 	10.00 , 	-10.00 ,Cost of Goods Sold
BLU-BBSM-LCLC-DP-2, 	-   , 	6.00 , 	20.00 , 	-14.00 ,Cost of Goods Sold
C&S-CS60047, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
C&S-CSMBS4C32, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
Channel Plate Gasket, 	-   , 	-   , 	30.00 , 	-30.00 ,Cost of Goods Sold
CON-CA702, 	-   , 	100.00 , 	-   , 	100.00 ,Cost of Goods Sold
CON-CA722/10, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
CON-CDL4UN, 	-   , 	400.00 , 	-   , 	400.00 ,Cost of Goods Sold
CON-CF4U110-240V, 	-   , 	200.00 , 	-   , 	200.00 ,Cost of Goods Sold
CON-CGT35U, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
CON-CTS2.5UN, 	-   ," 	1,900.00 ", 	-   ," 	1,900.00 ",Cost of Goods Sold
CON-CTS2.5UNBK, 	-   , 	381.00 , 	-   , 	381.00 ,Cost of Goods Sold
CON-CTS2.5UNR, 	-   , 	381.00 , 	-   , 	381.00 ,Cost of Goods Sold
CON-CTS35UNBK, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
CON-CTS35UNBU, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
CON-CTS35UNR, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
CON-CTS35UNY, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
CON-EP-2.5/4UN, 	-   , 	100.00 , 	-   , 	100.00 ,Cost of Goods Sold
CON-EPCDL4UN, 	-   , 	100.00 , 	-   , 	100.00 ,Cost of Goods Sold
DEL-DVP04AD-S, 	-   , 	1.00 , 	2.00 , 	-1.00 ,Cost of Goods Sold
DEL-TSW010, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
DEL-UC-PRG020-12A, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
ELE-4'' SCREW FILTER, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
ELE-4'' SNAP FILTER, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
ELM-DISTRU BLOCK DBK 1X4 BLACK, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
ELM-DISTRU BLOCK DBK 1X4 BLUE, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
ELM-DISTRU BLOCK DBK 1X4 RED, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
ELM-DISTRU BLOCK DBK 1X4 YELLOW, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
ELM-DISTRU BLOCK DBK 1X8 BLACK, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
ELM-DISTRU BLOCK DBK 1X8 BLUE, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
ELM-DISTRU BLOCK DBK 1X8 RED, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
ELM-DISTRU BLOCK DBK 1X8 YELLOW, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
ELM-ET35 EARTHING, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
ELM-ET6 EARTHING, 	-   , 	10.00 , 	-   , 	10.00 ,Cost of Goods Sold
ELM-KUT35 BLACK, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
ELM-KUT35 BLUE, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
ELM-KUT35 RED, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
ELM-KUT35 YELLOW, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
End plate gasket, 	-   , 	-   , 	2.00 , 	-2.00 ,Cost of Goods Sold
ESS-K30, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
EVE-6F22 9V, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
FIN-6C-ARM-FOC-SM, 	-   , 	-   ," 	2,000.00 "," 	-2,000.00 ",Cost of Goods Sold
GIC-MA51BC, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
GPSO-25-0118_FULLY WIRED CABINET FOR SWITCH, 	-   , 	-   , 	5.00 , 	-5.00 ,Cost of Goods Sold
GPSO-25-0118_FULLY WIRED POLYCARBONATE CABINET FOR GATEWAY, 	-   , 	-   , 	18.00 , 	-18.00 ,Cost of Goods Sold
GPSO-25-0118_GRAY COLOR PVC TERMINAL BLOCK 0.75MM, 	-   , 	-   ," 	2,000.00 "," 	-2,000.00 ",Cost of Goods Sold
GPSO-25-0118_PVC TERMINAL BLOCK 1.5MM(RED AND BLACK SET), 	-   , 	-   , 	800.00 , 	-800.00 ,Cost of Goods Sold
GPSO-25-0118_SIMATIC ENERGY MANAGER BASIC/PRO, 	-   , 	-   , 	1.00 , 	-1.00 ,Cost of Goods Sold
GPSO-26-0033_PNEUMATICS, 	-   , 	-   , 	1.00 , 	-1.00 ,Cost of Goods Sold
GPSO-26-0033_SS PANEL, 	-   , 	-   , 	1.00 , 	-1.00 ,Cost of Goods Sold
IDE-AXIAL SLEEVE FAN 2.5'' 24VDC, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
IMM-HEATER 4.5KW 415V, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
IMM-HEATER 6 KW 415V, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
Installation Charges, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
JAN-A2C01, 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
JAN-A2G02, 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
JAN-ASB0161, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
JAN-DS244SR60W, 	-   , 	8.00 , 	2.00 , 	6.00 ,Cost of Goods Sold
JAN-FRC136134, 	-   , 	3.00 , 	-   , 	3.00 ,Cost of Goods Sold
JAN-FRC156334, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
JAN-GS152, 	-   , 	26.00 , 	-   , 	26.00 ,Cost of Goods Sold
JAN-M0510108, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
JAN-PS0101504A, 	-   , 	1.00 , 	-   , 	1.00 ,Cost of Goods Sold
JAN-WH00B06, 	-   , 	100.00 , 	-   , 	100.00 ,Cost of Goods Sold
JAN-WH00B10, 	-   , 	102.00 , 	-   , 	102.00 ,Cost of Goods Sold
JAN-WP2100606, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
JAN-WP2110650, 	-   , 	5.00 , 	-   , 	5.00 ,Cost of Goods Sold
JAN-WP2110651, 	-   , 	12.00 , 	-   , 	12.00 ,Cost of Goods Sold
JAN-WP2111053, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
JAN-WP2210650, 	-   , 	8.00 , 	-   , 	8.00 ,Cost of Goods Sold
JAN-WP2210652, 	-   , 	32.00 , 	-   , 	32.00 ,Cost of Goods Sold
JAN-WP2211051, 	-   , 	2.00 , 	-   , 	2.00 ,Cost of Goods Sold
JAN-WP2300606, 	-   , 	4.00 , 	-   , 	4.00 ,Cost of Goods Sold
